,name,link,company,city,salary_min,salary_max,salary_currency
160,Junior Design Engineer,https://hh.ru/vacancy/51497196?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Coleman Group,Москва,,,
161,2D Motion Designer (GameDev),https://hh.ru/vacancy/53933493?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Playkot,Москва,,,
162,Footwear designer,https://hh.ru/vacancy/51496881?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,"Компания «СПОРТМАСТЕР», Производство и дистрибуция",Москва,,,
163,Game Designer,https://hh.ru/vacancy/50539213?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Game Insight,Москва,,,
164,UX/UI Designer,https://hh.ru/vacancy/52247148?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,"Иннотех, Группа компаний","Москва, Выставочная и еще 3 ",,,
165,Product designer/продуктовый дизайнер,https://hh.ru/vacancy/52407411?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,B2B-Center,"Москва, Сокольники",,,
166,Дизайнер в event-агентство,https://hh.ru/vacancy/53588175?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Great,Москва,,,
167,Senior Level Designer (RnD),https://hh.ru/vacancy/54055113?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Белка Геймз,Москва,,,
168,Graphic Designer,https://hh.ru/vacancy/53826718?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,AiNanoLab,Москва,3000,4000,
169,Level Designer match-3 (Дизайнер уровней match-3),https://hh.ru/vacancy/53645876?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Social Quantum,"Москва, Пушкинская и еще 1 ",,,
170,Senior UX designer,https://hh.ru/vacancy/49899031?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,USABILITYLAB,Москва,,,
171,Product Designer,https://hh.ru/vacancy/52304646?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Smartcat,"Москва, Отрадное",,,
172,UX/UI designer,https://hh.ru/vacancy/51353280?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Mercury,Москва,,,
173,Гейм-дизайнер по монетизации (MY.GAMES),https://hh.ru/vacancy/52846937?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,"VK, MY.GAMES",Москва,,,
174,UI/UX lead дизайнер / Арт-директор,https://hh.ru/vacancy/53699885?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,TIQUM,Москва,,240000,руб.
175,Product Designer,https://hh.ru/vacancy/53950090?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Artec 3D Adriatica,"Москва, Библиотека им.Ленина и еще 3 ",,,
176,UX UI Designer,https://hh.ru/vacancy/53588369?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Группа НЛМК,Москва,,,
177,Графический дизайнер (Web-дизайнер),https://hh.ru/vacancy/53870652?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ROOMGRAM,Москва,,,
178,UI UX Дизайнер,https://hh.ru/vacancy/53777114?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Kukarella,Москва,50000,90000,
179,Game Designer,https://hh.ru/vacancy/53805298?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Glera Games,Москва,,,
180,Эксперт по исследованию клиентского опыта CX (b2c),https://hh.ru/vacancy/52287780?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО HeadHunter::Product Management,"Москва, Алексеевская",,,
181,Эксперт по исследованию клиентского опыта CX (b2b),https://hh.ru/vacancy/52287498?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО HeadHunter::Product Management,"Москва, Алексеевская",,,
182,Комплектатор в Дизайн интерьера,https://hh.ru/vacancy/54488777?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Итер Групп,"Москва, Бауманская",80000,150000,
183,Business Analyst (mobile development),https://hh.ru/vacancy/54493564?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Чистый разум,Москва,,,
184,Java developer (команда Монетизация),https://hh.ru/vacancy/52082133?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО HeadHunter::Backend,"Москва, Алексеевская",,,
185,Java developer (команда Интеграция),https://hh.ru/vacancy/52083698?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО HeadHunter::Backend,"Москва, Алексеевская",,,
186,Frontend разработчик,https://hh.ru/vacancy/54468910?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Сошал Системс,"Москва, Коломенская",100000,200000,
187,Инженер-конструктор,https://hh.ru/vacancy/54463551?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Теневой Профиль,Москва,100000,150000,
188,Копирайтер / Сopywriter,https://hh.ru/vacancy/54463745?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Тритон,Москва,70000,,руб.
189,Operation manager / Администратор проекта / Офис-менеджер,https://hh.ru/vacancy/54419246?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Леони Кидс,"Москва, Динамо",80000,,руб.
190,Стилист консультант в ShowRoom,https://hh.ru/vacancy/54470276?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Sbalo,"Москва, Теплый Стан",43000,70000,руб.
191,Маркетолог/бренд-менеджер,https://hh.ru/vacancy/54457394?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО HeadHunter::Департамент маркетинга,Москва,90000,,руб.
192,Менеджер по продажам дизайнерской мебели,https://hh.ru/vacancy/34259146?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ЭСТЕТИКА,Москва,60000,200000,руб.
193,Дизайнер-консультант (м.Киевская),https://hh.ru/vacancy/47639587?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Кухонный двор,"Москва, Киевская",80000,,руб.
194,Менеджер салона мебели / Продавец-консультант,https://hh.ru/vacancy/54167049?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,"Эльба Мебель, Федеральная сеть",Москва,70000,,руб.
195,UI/UX дизайнер,https://hh.ru/vacancy/51319189?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Security Vision,"Москва, Новокузнецкая и еще 3 ",,,
196,Дизайнер 3D визуализатор,https://hh.ru/vacancy/53997912?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,АэроТакси-Сервис,"Москва, Румянцево",90000,,руб.
197,Дизайнер-архитектор (помощник дизайнера),https://hh.ru/vacancy/53481414?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Мастера Ремонта,"Москва, Площадь Ильича и еще 1 ",120000,,руб.
198,Графический дизайнер,https://hh.ru/vacancy/53649910?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,REV,Москва,,,
199,UX/UI designer в международный стартап,https://hh.ru/vacancy/54553139?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Team4You,Москва,,,
200,Графический дизайнер,https://hh.ru/vacancy/49230167?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Экостандарт,"Москва, Бауманская",70000,,руб.
201,UI/UX дизайнер (Gamedev),https://hh.ru/vacancy/43310773?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Студия Кефир,Москва,,,
202,"Менеджер проектов (продажа мебели, премиум)",https://hh.ru/vacancy/54531502?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Gordon Design Studio,"Москва, Динамо и еще 1 ",40000,250000,
203,Ведущий креативный дизайнер,https://hh.ru/vacancy/53640647?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,LIMONI,"Москва, Первомайская",100000,120000,
204,Швея по шторам,https://hh.ru/vacancy/54515210?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,AJ Design,Москва,50000,,руб.
205,Арт-директор/Продуктовый дизайнер/Графический дизайнер,https://hh.ru/vacancy/52565839?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Академия Арт,Москва,,,
206,Дизайнер-верстальщик,https://hh.ru/vacancy/52427665?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Аледо,"Москва, Нагатинская",,60000,руб.
207,Графический дизайнер,https://hh.ru/vacancy/54515860?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Трухин Григорий Викторович,Москва,40000,,руб.
208,Дизайнер интерьера,https://hh.ru/vacancy/50699121?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Rerooms,Москва,,,
209,Графический дизайнер (Удаленная работа),https://hh.ru/vacancy/35659402?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Go Mobile,"Москва, Цветной бульвар",,,
210,Графический дизайнер (Effects),https://hh.ru/vacancy/54558563?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Prequel,Москва,,,
211,Продуктовый дизайнер (UX-UI),https://hh.ru/vacancy/53228036?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Сайтсофт,"Москва, Бауманская",,150000,руб.
212,Дизайнер,https://hh.ru/vacancy/51401596?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Sminex,Москва,140000,,руб.
213,Ведущий программист 1С,https://hh.ru/vacancy/54349430?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Barcelona Design,"Москва, Курская и еще 1 ",,,
214,Архитектор-дизайнер,https://hh.ru/vacancy/54527041?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Вирке Хаус,Москва,60000,165000,
215,"Руководитель проектов (продажа мебели, премиум)",https://hh.ru/vacancy/54534689?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Gordon Design Studio,"Москва, Динамо и еще 1 ",60000,150000,
216,Архитектор-дизайнер,https://hh.ru/vacancy/54389714?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ЛЕО Компани,"Москва, Бульвар Рокоссовского и еще 2 ",80000,,руб.
217,Дизайнер презентаций/Архитектура,https://hh.ru/vacancy/54502595?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Даер Рус,"Москва, Динамо",50000,,руб.
218,Дизайнер по интерьерам и экстерьерам автомобилей,https://hh.ru/vacancy/54601454?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Zart,Москва,150000,200000,руб.
219,Дизайнер презентаций,https://hh.ru/vacancy/52605330?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,BetBoom,Москва,,,
220,Дизайнер презентаций,https://hh.ru/vacancy/54198607?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Digital Reputation,Москва,,,
221,UX\UI Дизайнер,https://hh.ru/vacancy/54524294?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Тритон,Москва,100000,,руб.
222,Senior Product Designer,https://hh.ru/vacancy/54058120?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,TIMELESS (ООО Оксбридж),"Москва, Курская и еще 2 ",300000,400000,руб.
223,Product designer,https://hh.ru/vacancy/50888202?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Точка,Москва,200000,,руб.
224,Помощник дизайнера (Junior Web-designer),https://hh.ru/vacancy/54438997?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ExpAs,"Москва, Сетунь",20000,40000,руб.
225,Lead Product Designer,https://hh.ru/vacancy/53679739?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,NOMIA,Москва,300000,,руб.
226,Product designer,https://hh.ru/vacancy/53960039?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Center-Game,"Москва, Ботанический сад",150000,220000,руб.
227,Game Designer / Геймдизайнер,https://hh.ru/vacancy/54371910?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Digital Oxygen,Москва,50000,,руб.
228,Арт-директор,https://hh.ru/vacancy/54573357?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Mish Design,Москва,150000,220000,руб.
229,Junior Designer,https://hh.ru/vacancy/54604745?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Sports.ru,"Москва, Новокузнецкая и еще 2 ",,,
230,Стажер – дизайнер,https://hh.ru/vacancy/54571148?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лаборатория Касперского,"Москва, Водный стадион",,,
231,Game designer (работа в офисе),https://hh.ru/vacancy/54485865?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Овермайнд,"Москва, Минская",,120000,руб.
232,Motion Designer,https://hh.ru/vacancy/54596044?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Reliz,Москва,,,
233,Графический дизайнер,https://hh.ru/vacancy/54552666?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ФГАОУ ВО Российский университет транспорта (МИИТ),Москва,150000,,руб.
234,Motion designer / Motion designer (Анимация интерфейсов),https://hh.ru/vacancy/53653061?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ИП Саковская Людмила Владимировна,Москва,2000,,USD
235,Графический дизайнер,https://hh.ru/vacancy/51654837?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,BORK,Москва,100000,,руб.
236,Графический дизайнер,https://hh.ru/vacancy/53208714?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,iConText Group,"Москва, Достоевская и еще 2 ",70000,,руб.
237,Графический дизайнер/Graphic Designer,https://hh.ru/vacancy/52695494?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Instories,Москва,,,
238,Graphic designer – remote,https://hh.ru/vacancy/54568475?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Тайгер Трейд,Москва,,,
239,Графический дизайнер,https://hh.ru/vacancy/51707131?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Сеть Партнерств,Москва,130000,,руб.
240,Creative Digital Designer / Креативный веб-дизайнер (удаленно),https://hh.ru/vacancy/53572722?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Convergent,Москва,,,
241,Дизайнер,https://hh.ru/vacancy/54570863?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Лаборатория Глобал Принт,Москва,40000,,руб.
242,Motion designer (2d - 3d artist),https://hh.ru/vacancy/53713949?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Мегаполис Медиа,Москва,80000,100000,руб.
243,Level Designer,https://hh.ru/vacancy/52178548?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Кадровое агентство Юнити,Москва,,200000,руб.
244,Дизайнер,https://hh.ru/vacancy/54523913?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Atomic,"Москва, Курская и еще 2 ",60000,70000,руб.
245,3D-моделлер,https://hh.ru/vacancy/54602508?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ANCOR,Москва,75–,500EUR,руб.
246,UX/UI designer,https://hh.ru/vacancy/53960053?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Center-Game,"Москва, Ботанический сад",90000,150000,руб.
247,3D-дизайнер по рекламе (В ОФИС),https://hh.ru/vacancy/54526850?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,BRADEX,"Москва, Улица Академика Янгеля",100000,120000,руб.
248,HTML-верстальщик / Frontend-разработчик,https://hh.ru/vacancy/54250840?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Design Lab,Москва,40000,60000,руб.
249,UI Designer,https://hh.ru/vacancy/52121522?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лаборатория Касперского,"Москва, Водный стадион",,,
250,Дизайнер мебели и предметов интерьера,https://hh.ru/vacancy/54254531?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,MADIQUE Home Design,Москва,80000,150000,
251,"Hyper Casual Game Designer, Удаленно",https://hh.ru/vacancy/53927105?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,LabelMe,Москва,,300000,руб.
252,Team Lead UI/UX Designer,https://hh.ru/vacancy/53748155?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ГЕТСИЭРЭМ,"Москва, Площадь Ильича и еще 1 ",150000,200000,руб.
253,LEAD marketing designer (удаленно),https://hh.ru/vacancy/54582582?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО UMA.Tech,Москва,,,
254,Графический - Моушн Дизайнер / Graphic and Motion Designer,https://hh.ru/vacancy/53890126?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО SHARE,Москва,100000,,руб.
255,Senior UX/UI Designer,https://hh.ru/vacancy/54596409?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Your Next Agency,Москва,1300,2400,руб.
256,Senior Product designer,https://hh.ru/vacancy/54211435?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,eyezon,"Москва, Динамо и еще 1 ",,,
257,Дизайнер,https://hh.ru/vacancy/54237269?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Доширак Рус,Москва,55000,,руб.
258,Level designer/Левел-дизайнер,https://hh.ru/vacancy/54460955?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО PlayMe8,Москва,,,
259,Графический дизайнер,https://hh.ru/vacancy/54161863?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Миловидов,Москва,80000,100000,
260,Дизайнер презентаций,https://hh.ru/vacancy/54198607?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Digital Reputation,Москва,,,
261,UX\UI Дизайнер,https://hh.ru/vacancy/54524294?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Тритон,Москва,100000,,руб.
262,Senior Product Designer,https://hh.ru/vacancy/54058120?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,TIMELESS (ООО Оксбридж),"Москва, Курская и еще 2 ",300000,400000,руб.
263,Product designer,https://hh.ru/vacancy/50888202?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Точка,Москва,200000,,руб.
264,Помощник дизайнера (Junior Web-designer),https://hh.ru/vacancy/54438997?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ExpAs,"Москва, Сетунь",20000,40000,руб.
265,Product designer,https://hh.ru/vacancy/53960039?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Center-Game,"Москва, Ботанический сад",150000,220000,руб.
266,Lead Product Designer,https://hh.ru/vacancy/53679739?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,NOMIA,Москва,300000,,руб.
267,Game Designer / Геймдизайнер,https://hh.ru/vacancy/54371910?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Digital Oxygen,Москва,50000,,руб.
268,Арт-директор,https://hh.ru/vacancy/54573357?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Mish Design,Москва,150000,220000,руб.
269,Junior Designer,https://hh.ru/vacancy/54604745?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Sports.ru,"Москва, Новокузнецкая и еще 2 ",,,
270,Стажер – дизайнер,https://hh.ru/vacancy/54571148?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лаборатория Касперского,"Москва, Водный стадион",,,
271,Game designer (работа в офисе),https://hh.ru/vacancy/54485865?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Овермайнд,"Москва, Минская",,120000,руб.
272,Графический дизайнер,https://hh.ru/vacancy/54552666?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ФГАОУ ВО Российский университет транспорта (МИИТ),Москва,150000,,руб.
273,Motion Designer,https://hh.ru/vacancy/54596044?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Reliz,Москва,,,
274,Motion designer / Motion designer (Анимация интерфейсов),https://hh.ru/vacancy/53653061?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ИП Саковская Людмила Владимировна,Москва,2000,,USD
275,Графический дизайнер,https://hh.ru/vacancy/53208714?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,iConText Group,"Москва, Достоевская и еще 2 ",70000,,руб.
276,Графический дизайнер,https://hh.ru/vacancy/51654837?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,BORK,Москва,100000,,руб.
277,Graphic designer – remote,https://hh.ru/vacancy/54568475?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Тайгер Трейд,Москва,,,
278,Графический дизайнер/Graphic Designer,https://hh.ru/vacancy/52695494?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Instories,Москва,,,
279,Графический дизайнер,https://hh.ru/vacancy/51707131?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Сеть Партнерств,Москва,130000,,руб.
280,Creative Digital Designer / Креативный веб-дизайнер (удаленно),https://hh.ru/vacancy/53572722?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Convergent,Москва,,,
281,3D-дизайнер по рекламе (В ОФИС),https://hh.ru/vacancy/54526850?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,BRADEX,"Москва, Улица Академика Янгеля",100000,120000,
282,Product designer,https://hh.ru/vacancy/54603741?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ANCOR,Москва,,,
283,Дизайнер интерьеров,https://hh.ru/vacancy/54574743?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Black Triangle Design,Москва,90000,,руб.
284,UX/UI designer,https://hh.ru/vacancy/53960053?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Center-Game,"Москва, Ботанический сад",90000,150000,руб.
285,Game designer (feature),https://hh.ru/vacancy/54262708?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Чиллгейминг,Москва,,,
286,Арт-дизайнер,https://hh.ru/vacancy/54329487?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ЗАО Центрстройсвет,"Москва, Медведково",100000,,руб.
287,Дизайнер,https://hh.ru/vacancy/54570135?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Регион Эстейт,"Москва, Смоленская и еще 1 ",100000,100000,руб.
288,Game Designer Middle UNITY,https://hh.ru/vacancy/54437120?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ИП КУЛИКОВ,"Москва, Деловой центр",100000,,руб.
289,Дизайнер,https://hh.ru/vacancy/52617742?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ИП Быков Максим Андреевич,"Москва, Белорусская и еще 1 ",,,
290,Дизайнер-художник/дизайнер 2D-дженералист/помощник дизайнера,https://hh.ru/vacancy/54568762?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ЭВАРС,Москва,,50000,руб.
291,Дизайнер,https://hh.ru/vacancy/54237269?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Доширак Рус,Москва,55000,,руб.
292,UX/UI дизайнер,https://hh.ru/vacancy/54205267?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Mish Design,Москва,120000,210000,руб.
293,Level designer/Левел-дизайнер,https://hh.ru/vacancy/54460955?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО PlayMe8,Москва,,,
294,Геймдизайнер в группу фичей / Senior Game Designer (Features),https://hh.ru/vacancy/54374612?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,RJ Games,"Москва, Новокузнецкая и еще 2 ",,,
295,Senior Product designer,https://hh.ru/vacancy/54211435?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,eyezon,"Москва, Динамо и еще 1 ",,,
296,Гейм дизайнер / Game designer,https://hh.ru/vacancy/54598241?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,VIM DIGITAL,"Москва, Киевская",,,
297,ASIC Backend Design Engineer,https://hh.ru/vacancy/54554697?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,DIS Group,Москва,4000,,USD
298,Графический дизайнер / Дизайнер-верстальщик,https://hh.ru/vacancy/54469946?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Ай-па,"Москва, Планерная",50000,55000,USD
299,Motion-designer,https://hh.ru/vacancy/52825612?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО 9 Панд,"Москва, Алексеевская",70000,,руб.
300,Графический дизайнер,https://hh.ru/vacancy/54252662?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ЗАО Центрстройсвет,"Москва, Медведково",70000,,руб.
301,Дизайнер,https://hh.ru/vacancy/54379425?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Юнион,Москва,,,
302,3D-моделлер,https://hh.ru/vacancy/54244038?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ДИВАН.РУ,Москва,,,
303,Senior Graphic Designer,https://hh.ru/vacancy/54042368?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ТОО OrientSwiss,Москва,,,
304,Дизайнер UI/UX,https://hh.ru/vacancy/54587789?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,РТС-тендер,Москва,,,
305,Продуктовый дизайнер UX/UI / Product designer,https://hh.ru/vacancy/53981184?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Группа Самолет,Москва,,,
306,Level Designer,https://hh.ru/vacancy/53688539?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ТОО MadOut Games,Москва,,,
307,Графический дизайнер,https://hh.ru/vacancy/54479862?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ВинЭкс,"Москва, Тульская",50000,70000,
308,Lead Designer,https://hh.ru/vacancy/52497553?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,"Accel Club, Inc","Москва, Савёловская и еще 2 ",,,
309,UX/UI Дизайнер,https://hh.ru/vacancy/54593843?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Омега,Москва,120000,,руб.
310,Product Designer (remote),https://hh.ru/vacancy/54462067?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Wisebits,Москва,3000,,EUR
311,Motion Designer,https://hh.ru/vacancy/53423165?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Студия КиС,"Москва, Серпуховская",80000,,руб.
312,Level Designer,https://hh.ru/vacancy/53986546?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Joy Way,Москва,,,
313,Level Designer,https://hh.ru/vacancy/54567168?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Talents In Games,Москва,,,
314,Senior Ui designer (Дизайн-система),https://hh.ru/vacancy/52122138?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лаборатория Касперского,"Москва, Водный стадион",,,
315,Motion Designer,https://hh.ru/vacancy/52467322?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Instories,Москва,,,
316,Архитектор,https://hh.ru/vacancy/54382761?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,DESIGN SOLUTIONS,Москва,,,
317,Senior / middle UX/UI designer,https://hh.ru/vacancy/54592049?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,MANGO OFFICE,"Москва, Калужская",,,
318,Product Designer,https://hh.ru/vacancy/54482204?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Оскели Групп,Москва,,,
319,2D Motion-Designer,https://hh.ru/vacancy/49123264?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,AppQuantum,"Москва, Автозаводская",,,
