,name,link,company,city,salary_min,salary_max,salary_currency
35,Графический дизайнер,https://hh.ru/vacancy/51654837?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,BORK,Москва,100000,,руб.
36,Motion Designer,https://hh.ru/vacancy/54596044?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Reliz,Москва,,,
37,Графический дизайнер,https://hh.ru/vacancy/51707131?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Сеть Партнерств,Москва,130000,,руб.
38,Графический дизайнер/Graphic Designer,https://hh.ru/vacancy/52695494?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Instories,Москва,,,
39,Graphic designer – remote,https://hh.ru/vacancy/54568475?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Тайгер Трейд,Москва,,,
40,Дизайнер интерьеров,https://hh.ru/vacancy/53834099?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,RED ROBOT DESIGN,Москва,100000,,руб.
41,3D-дизайнер по рекламе (В ОФИС),https://hh.ru/vacancy/54526850?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,BRADEX,"Москва, Улица Академика Янгеля",100000,120000,руб.
42,Product designer,https://hh.ru/vacancy/54603741?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ANCOR,Москва,,,
43,UX/UI designer,https://hh.ru/vacancy/53960053?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Center-Game,"Москва, Ботанический сад",90000,150000,
44,Game designer (feature),https://hh.ru/vacancy/54262708?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Чиллгейминг,Москва,,,
45,Арт-дизайнер,https://hh.ru/vacancy/54329487?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ЗАО Центрстройсвет,"Москва, Медведково",100000,,руб.
46,Графический дизайнер,https://hh.ru/vacancy/54602087?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ИП Миневич Динара Иосифовна,Москва,,100000,руб.
47,Дизайнер,https://hh.ru/vacancy/54570135?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Регион Эстейт,"Москва, Смоленская и еще 1 ",100000,100000,руб.
48,Game Designer Middle UNITY,https://hh.ru/vacancy/54437120?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ИП КУЛИКОВ,"Москва, Деловой центр",100000,,руб.
49,Дизайнер,https://hh.ru/vacancy/52617742?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ИП Быков Максим Андреевич,"Москва, Белорусская и еще 1 ",,,
50,UX/UI дизайнер,https://hh.ru/vacancy/54205267?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Mish Design,Москва,120000,210000,
51,Дизайнер,https://hh.ru/vacancy/54237269?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Доширак Рус,Москва,55000,,руб.
52,Level designer/Левел-дизайнер,https://hh.ru/vacancy/54460955?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО PlayMe8,Москва,,,
53,Дизайнер-художник/дизайнер 2D-дженералист/помощник дизайнера,https://hh.ru/vacancy/54568762?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО ЭВАРС,Москва,,50000,руб.
54,Гейм дизайнер / Game designer,https://hh.ru/vacancy/54598241?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,VIM DIGITAL,"Москва, Киевская",,,
55,Геймдизайнер в группу фичей / Senior Game Designer (Features),https://hh.ru/vacancy/54374612?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,RJ Games,"Москва, Новокузнецкая и еще 2 ",,,
56,Motion designer (Effects),https://hh.ru/vacancy/54557859?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Prequel,Москва,,,
57,Senior Product designer,https://hh.ru/vacancy/54211435?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,eyezon,"Москва, Динамо и еще 1 ",,,
58,ASIC Backend Design Engineer,https://hh.ru/vacancy/54554697?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,DIS Group,Москва,4000,,USD
59,Графический дизайнер,https://hh.ru/vacancy/54603518?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Группа Компаний Текар,Москва,50000,70000,USD
60,Графический дизайнер,https://hh.ru/vacancy/54252662?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ЗАО Центрстройсвет,"Москва, Медведково",70000,,руб.
61,Дизайнер,https://hh.ru/vacancy/54379425?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Юнион,Москва,,,
62,3D-моделлер,https://hh.ru/vacancy/54244038?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ДИВАН.РУ,Москва,,,
63,Senior Graphic Designer,https://hh.ru/vacancy/54042368?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ТОО OrientSwiss,Москва,,,
64,Дизайнер UI/UX,https://hh.ru/vacancy/54587789?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,РТС-тендер,Москва,,,
65,Level Designer,https://hh.ru/vacancy/53688539?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ТОО MadOut Games,Москва,,,
66,Продуктовый дизайнер UX/UI / Product designer,https://hh.ru/vacancy/53981184?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Группа Самолет,Москва,,,
67,UX/UI дизайнер,https://hh.ru/vacancy/54596595?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Регион Маркетплейс,Москва,100000,100000,
68,Lead Designer,https://hh.ru/vacancy/52497553?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,"Accel Club, Inc","Москва, Савёловская и еще 2 ",,,
69,Графический дизайнер,https://hh.ru/vacancy/54479862?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ВинЭкс,"Москва, Тульская",50000,70000,
70,Level Designer,https://hh.ru/vacancy/54567168?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Talents In Games,Москва,,,
71,Product Designer (remote),https://hh.ru/vacancy/54462067?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Wisebits,Москва,3000,,EUR
72,UX/UI Дизайнер,https://hh.ru/vacancy/54593843?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Омега,Москва,120000,,руб.
73,Motion Designer,https://hh.ru/vacancy/53423165?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Студия КиС,"Москва, Серпуховская",80000,,руб.
74,Level Designer,https://hh.ru/vacancy/53986546?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Joy Way,Москва,,,
75,Senior Ui designer (Дизайн-система),https://hh.ru/vacancy/52122138?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Лаборатория Касперского,"Москва, Водный стадион",,,
76,Motion Designer,https://hh.ru/vacancy/52467322?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Instories,Москва,,,
77,Архитектор,https://hh.ru/vacancy/54382761?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,DESIGN SOLUTIONS,Москва,,,
78,Product Designer,https://hh.ru/vacancy/54482204?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Оскели Групп,Москва,,,
79,2D Motion-Designer,https://hh.ru/vacancy/49123264?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,AppQuantum,"Москва, Автозаводская",,,
80,Дизайнер интерьеров,https://hh.ru/vacancy/53276496?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Эталон Ремонт,Москва,160000,,руб.
81,Technical Game Designer,https://hh.ru/vacancy/53567420?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО МОТОРСПОРТ,Москва,100000,160000,руб.
82,Дизайнер,https://hh.ru/vacancy/54246285?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Агентство стратегического развития «ЦЕНТР»,"Москва, Арбатская",50000,70000,руб.
83,Senior Digital Product Designer,https://hh.ru/vacancy/54499122?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,AdGuard,"Москва, Тульская и еще 1 ",,,
84,Дизайнер пользовательских интерфейсов (UX/UI),https://hh.ru/vacancy/54478030?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ЗАО ТЕРМИКА,Москва,90000,120000,
85,Game Monetization Designer / LiveOps,https://hh.ru/vacancy/54465822?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,Plarium,Москва,,,
86,Lead Product Designer (Demand),https://hh.ru/vacancy/54509597?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,СберМаркет,Москва,,,
87,Графический дизайнер,https://hh.ru/vacancy/54499219?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=design,ООО Фиджи Спорт Клуб,Москва,,80000,руб.
